,hierarchy_level,job_field,job_since,years_at_job,company2,hierarchy_level2,job_field2,school,approx_work_xp
128,Employee,IT/Data,janv. 2022 ,0,other company,Intern,IT/Data,HEC,1
129,Employee,IT/Data,2021 ,1,other company,Employee,unknown,EFREI,4
130,Employee,Business,mars 2021 ,1,other company,Manager,IT,HEC,2
131,Employee,IT/Data,oct. 2021 ,1,Criteo,Intern,IT/Data,HEC,1
132,Intern, ,juin 2015 ,7,other company,Intern,Finance,ESSCA,17
133,Employee,IT/Data,janv. 2020 ,2,Criteo,Employee,IT,ingésup,9
134,Senior,Business,juil. 2021 ,1,Criteo,Employee,Business,ESSEC,2
135,Employee,R&D,août 2021 ,1,other company,Employee,IT,Université Paris Panthéon-sorbonne,3
136,Stagiaire,Finance,janv. 2022 ,0,other company,Stagiaire,Legal,Université Paris Panthéon-sorbonne,2
137,Employee, ,mai 2021 ,1,other company,Employee,Consultant,université de rennes 1,1
138,Lead,IT/Data,févr. 2017 ,5,other company,Employee,IT/Data,"university of california, santa barbara",9
139,Employee, ,févr. 2021 ,1,Criteo,Employee,Legal,ESCP,2
140,Employee,IT/Data,sept. 2020 ,2,other company,Employee,IT,EFREI,-1
141,Manager,Product,déc. 2019 ,3,Criteo,Employee,IT/Data,HEC,7
142,Head,Account Strategist,janv. 2021 ,1,Criteo,Manager,Business,SKEMA,11
