,company,hierarchy_level,job_since,years_at_job,company2,hierarchy_level2,school,job2_start,job2_end2,job2_duration,approx_work_xp,job_field_Account Strategist,job_field_Board/CEO,job_field_Business,job_field_Consultant,job_field_Finance,job_field_HR,job_field_IT,job_field_IT/Data,job_field_Marketing,job_field_Operations,job_field_Product,job_field_Quality,job_field_R&D,job_field_other,job_field2_Account Strategist,job_field2_Board/CEO,job_field2_Business,job_field2_Consultant,job_field2_Finance,job_field2_HR,job_field2_IT,job_field2_IT/Data,job_field2_Marketing,job_field2_Product,job_field2_R&D,job_field2_other
135,1,4,2021,1,1,1,0,2020,2022,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,1,4,2021,1,1,1,0,2019,2022,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,0,3,2014,8,0,6,0,2012,2022,10,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,1,1,2021,1,1,1,0,2020,2022,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139,1,4,2020,2,1,4,0,2020,2022,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,0,1,2019,3,0,1,0,2018,2022,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,1,6,2021,1,1,6,0,2019,2022,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,1,1,2021,1,1,3,0,2021,2022,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,1,2,2020,2,1,1,0,2019,2022,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,1,5,2020,2,1,3,0,2018,2022,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145,1,1,2016,6,1,8,0,2016,2022,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
146,1,3,2021,1,1,3,0,2020,2022,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,1,2,2022,0,1,2,0,2021,2022,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,1,5,2021,1,1,5,0,2020,2021,1,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,1,3,2020,2,1,1,0,2020,2020,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,1,3,2021,1,1,4,0,2020,2021,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,1,3,2021,1,1,3,0,2020,2021,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,1,3,2019,3,1,1,0,2018,2018,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,1,2,2018,4,1,1,0,2016,2018,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,1,3,2021,1,1,2,0,2020,2020,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,1,4,2021,1,1,5,2,2019,2021,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,1,9,2021,1,1,9,2,2019,2021,2,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,1,2,2021,1,1,2,0,2014,2021,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
